kode_ba;kode_akun;kode_kab;blokir;kontrak;pagu;realisasi;bulan
5;005;1306;0;0;6138446000;432761094;01-2023
5;005;1306;0;23333360;2457438000;26695986;01-2023
5;005;1306;0;0;28000000;0;01-2023
6;006;1306;0;0;4899019000;181783640;01-2023
6;006;1306;0;0;2811771000;58762600;01-2023
6;006;1306;0;0;119200000;0;01-2023
13;013;1306;0;0;5385359000;344441559;01-2023
13;013;1306;0;3667514163;18703930000;786969662;01-2023
13;013;1306;0;0;528647000;0;01-2023
15;015;1306;0;0;858299000;45220000;01-2023
15;015;1306;0;0;7638754000;136568910;01-2023
15;015;1306;0;0;28500000;0;01-2023
22;022;1306;0;0;7869647000;567496621;01-2023
22;022;1306;0;0;13322106000;499334548;01-2023
22;022;1306;0;11140544283;51000000000;0;01-2023
23;023;1306;0;0;10736868000;373162180;01-2023
23;023;1306;0;0;14237963000;60207661;01-2023
23;023;1306;0;0;2335341000;0;01-2023
25;025;1306;0;0;42349754000;1231587883;01-2023
25;025;1311;0;0;10643196000;271342139;01-2023
25;025;1306;0;0;8609170000;342345674;01-2023
25;025;1311;0;0;3506498000;49247095;01-2023
25;025;1306;0;0;389305000;9999370;01-2023
25;025;1311;0;0;575334000;0;01-2023
29;029;1306;0;0;5646971000;223708384;01-2023
29;029;1306;30315000;0;6509588000;110510818;01-2023
29;029;1306;0;195997802;1130227000;0;01-2023
32;032;1311;0;0;2183225000;64225281;01-2023
32;032;1311;298165000;231266560;5529146000;0;01-2023
32;032;1311;0;0;325900000;0;01-2023
54;054;1306;0;0;3451854000;230262977;01-2023
54;054;1311;0;0;2490441000;177508129;01-2023
54;054;1306;753022000;0;10431221000;0;01-2023
54;054;1311;689246000;0;4506790000;4476562;01-2023
56;056;1306;0;0;1858128000;123202304;01-2023
56;056;1311;0;0;1192702000;65023955;01-2023
56;056;1306;69135000;0;6265813000;31483048;01-2023
56;056;1311;0;6600000;3277624000;78000000;01-2023
56;056;1306;0;418806000;1003736000;0;01-2023
56;056;1311;0;1320248000;1998676000;0;01-2023
60;060;1306;0;0;43519612000;3197772004;01-2023
60;060;1311;0;0;19341512000;1430837618;01-2023
60;060;1306;0;1191239084;17788490000;577403623;01-2023
60;060;1311;0;666342500;9439739000;29526500;01-2023
60;060;1306;0;0;20000000;0;01-2023
60;060;1311;0;1122406740;4090845000;0;01-2023
75;075;1306;0;0;1203390000;28171548;01-2023
75;075;1306;26380000;0;646698000;23826295;01-2023
75;075;1306;0;0;201800000;0;01-2023
76;076;1306;0;0;2120001000;106551516;01-2023
76;076;1311;0;0;1951052000;101067599;01-2023
76;076;1306;0;0;37615427000;0;01-2023
76;076;1311;0;0;9251608000;222258300;01-2023
76;076;1306;0;0;55229000;0;01-2023
76;076;1311;0;0;51560000;0;01-2023
115;115;1306;0;0;1048261000;66304007;01-2023
115;115;1306;93398000;0;20568921000;210438543;01-2023
115;115;1306;36036000;0;227490000;0;01-2023
999;999;1306;0;0;272274894000;30799346400;01-2023
999;999;1311;0;0;36738750000;4577800350;01-2023
999;999;1306;0;0;1091068698000;101954838000;01-2023
999;999;1311;0;0;461704891000;52216124000;01-2023
999;999;1306;0;0;119557165000;0;01-2023
999;999;1311;0;0;63618291000;0;01-2023
999;999;1311;0;0;9943767000;0;01-2023
999;999;1306;0;0;278677317000;0;01-2023
999;999;1311;0;0;78311301000;0;01-2023
999;999;1306;0;0;247797914000;0;01-2023
999;999;1311;0;0;42952219000;0;01-2023
5;005;1306;0;0;6138446000;440244058;02-2023
5;005;1306;0;23333360;2457438000;187170300;02-2023
5;005;1306;0;0;28000000;0;02-2023
6;006;1306;0;0;4899019000;365874842;02-2023
6;006;1306;0;0;2811771000;145423450;02-2023
6;006;1306;0;0;119200000;119200000;02-2023
13;013;1306;0;0;5385359000;420293603;02-2023
13;013;1306;0;3667514163;18703930000;1628434918;02-2023
13;013;1306;0;0;528647000;0;02-2023
15;015;1306;0;0;858299000;59129000;02-2023
15;015;1306;0;0;7638754000;534759935;02-2023
15;015;1306;0;0;28500000;0;02-2023
22;022;1306;0;0;7869647000;623910977;02-2023
22;022;1306;0;0;13322106000;975254208;02-2023
22;022;1306;0;11140544283;51000000000;7779600000;02-2023
23;023;1306;0;0;10736868000;723502845;02-2023
23;023;1306;0;0;14237963000;788505636;02-2023
23;023;1306;0;0;2335341000;139840000;02-2023
25;025;1306;0;0;42349754000;1797104392;02-2023
25;025;1311;0;0;10643196000;473352422;02-2023
25;025;1306;0;0;8609170000;808393289;02-2023
25;025;1311;0;0;3506498000;538831201;02-2023
25;025;1306;0;0;389305000;217653000;02-2023
25;025;1311;0;0;575334000;310874000;02-2023
29;029;1306;0;0;5646971000;416883575;02-2023
29;029;1306;30315000;0;6509588000;754102531;02-2023
29;029;1306;0;195997802;1130227000;6745945;02-2023
32;032;1311;0;0;2183225000;144462623;02-2023
32;032;1311;298165000;231266560;5529146000;350991659;02-2023
32;032;1311;0;0;325900000;0;02-2023
54;054;1306;0;0;3451854000;255675075;02-2023
54;054;1311;0;0;2490441000;181979050;02-2023
54;054;1306;753022000;0;10431221000;341562858;02-2023
54;054;1311;689246000;0;4506790000;191551271;02-2023
56;056;1306;0;0;1858128000;123299304;02-2023
56;056;1311;0;0;1192702000;73106955;02-2023
56;056;1306;69135000;0;6265813000;275334690;02-2023
56;056;1311;0;6600000;3277624000;95134500;02-2023
56;056;1306;0;418806000;1003736000;0;02-2023
56;056;1311;0;1320248000;1998676000;0;02-2023
60;060;1306;0;0;43519612000;3095546120;02-2023
60;060;1311;0;0;19341512000;1387793164;02-2023
60;060;1306;0;1191239084;17788490000;2221640918;02-2023
60;060;1311;0;666342500;9439739000;1123509583;02-2023
60;060;1306;0;0;20000000;0;02-2023
60;060;1311;0;1122406740;4090845000;128801300;02-2023
75;075;1306;0;0;1203390000;81272766;02-2023
75;075;1306;26380000;0;646698000;68554519;02-2023
75;075;1306;0;0;201800000;19975000;02-2023
76;076;1306;0;0;2120001000;146822921;02-2023
76;076;1311;0;0;1951052000;150689240;02-2023
76;076;1306;0;0;37615427000;1454469000;02-2023
76;076;1311;0;0;9251608000;585527947;02-2023
76;076;1306;0;0;55229000;0;02-2023
76;076;1311;0;0;51560000;0;02-2023
115;115;1306;0;0;1048261000;82478077;02-2023
115;115;1306;93398000;0;20568921000;1795075798;02-2023
115;115;1306;36036000;0;227490000;0;02-2023
999;999;1306;0;0;272274894000;0;02-2023
999;999;1311;0;0;36738750000;0;02-2023
999;999;1306;0;0;1091068698000;50977419000;02-2023
999;999;1311;0;0;461704891000;26108062000;02-2023
999;999;1306;0;0;119557165000;0;02-2023
999;999;1311;0;0;63618291000;0;02-2023
999;999;1311;0;0;9943767000;0;02-2023
999;999;1306;0;0;278677317000;10081630000;02-2023
